央视,#genre#
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227279/index.m3u8
CCTV2,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8
CCTV3,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8
CCTV4,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8
CCTV5,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8
CCTV5+,http://222.85.69.6/PLTV/88888888/224/3221227220/index.m3u8
CCTV6,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8
CCTV7,http://222.85.69.6/PLTV/88888888/224/3221227084/index.m3u8
CCTV8,http://222.85.69.6/PLTV/88888888/224/3221227081/index.m3u8
CCTV9,http://222.85.69.6/PLTV/88888888/224/3221227078/index.m3u8
CCTV10,http://222.85.69.6/PLTV/88888888/224/3221227043/index.m3u8
CCTV11,http://222.85.69.6/PLTV/88888888/224/3221227040/index.m3u8
CCTV12,http://222.85.69.6/PLTV/88888888/224/3221227044/index.m3u8
CCTV13,http://222.85.69.6/PLTV/88888888/224/3221227041/index.m3u8
CCTV14,http://222.85.69.6/PLTV/88888888/224/3221227038/index.m3u8
CCTV15,http://222.85.69.6/PLTV/88888888/224/3221227037/index.m3u8
CCTV16,http://222.85.69.6/PLTV/88888888/224/3221227280/index.m3u8
CCTV17,http://222.85.69.6/PLTV/88888888/224/3221227072/index.m3u8

卫视,#genre#
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221227017/index.m3u8
安徽卫视,http://222.85.69.6/TVOD/88888888/224/3221227017/index.m3u8
北京卫视,http://222.85.69.6/PLTV/88888888/224/3221227036/index.m3u8
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8
重庆卫视,http://222.85.69.6/TVOD/88888888/224/3221227025/index.m3u8
东方卫视,http://222.85.69.6/PLTV/88888888/224/3221227020/index.m3u8
东方卫视,http://222.85.69.6/TVOD/88888888/224/3221227020/index.m3u8
甘肃卫视,http://222.85.69.6/PLTV/88888888/224/3221227013/index.m3u8
甘肃卫视,http://222.85.69.6/TVOD/88888888/224/3221227013/index.m3u8
广东卫视,http://222.85.69.6/PLTV/88888888/224/3221227033/index.m3u8
广东卫视,http://222.85.69.6/TVOD/88888888/224/3221227033/index.m3u8
广西卫视,http://222.85.69.6/PLTV/88888888/224/3221227045/index.m3u8
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221227001/index.m3u8
贵州卫视,http://222.85.69.6/TVOD/88888888/224/3221227001/index.m3u8
海南卫视,http://222.85.69.6/PLTV/88888888/224/3221227016/index.m3u8
海南卫视,http://222.85.69.6/TVOD/88888888/224/3221227016/index.m3u8
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221227027/index.m3u8
河北卫视,http://222.85.69.6/TVOD/88888888/224/3221227027/index.m3u8
河南卫视,http://222.85.69.6/PLTV/88888888/224/3221226984/index.m3u8
河南卫视,http://222.85.69.6/TVOD/88888888/224/3221226984/index.m3u8
黑龙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227039/index.m3u8
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221227057/index.m3u8
湖南卫视,http://222.85.69.6/PLTV/88888888/224/3221227021/index.m3u8
湖南卫视,http://222.85.69.6/TVOD/88888888/224/3221227021/index.m3u8
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221227022/index.m3u8
吉林卫视,http://222.85.69.6/TVOD/88888888/224/3221227022/index.m3u8
江苏卫视,http://222.85.69.6/PLTV/88888888/224/3221227007/index.m3u8
江苏卫视,http://222.85.69.6/TVOD/88888888/224/3221227007/index.m3u8
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221227024/index.m3u8
江西卫视,http://222.85.69.6/TVOD/88888888/224/3221227024/index.m3u8
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221227014/index.m3u8
辽宁卫视,http://222.85.69.6/TVOD/88888888/224/3221227014/index.m3u8
内蒙古卫视,http://222.85.69.6/PLTV/88888888/224/3221227048/index.m3u8
宁夏卫视,http://222.85.69.6/PLTV/88888888/224/3221227019/index.m3u8
宁夏卫视,http://222.85.69.6/TVOD/88888888/224/3221227019/index.m3u8
青海卫视,http://222.85.69.6/PLTV/88888888/224/3221227010/index.m3u8
青海卫视,http://222.85.69.6/TVOD/88888888/224/3221227010/index.m3u8
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221227004/index.m3u8
山东卫视,http://222.85.69.6/TVOD/88888888/224/3221227004/index.m3u8
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8
陕西卫视,http://222.85.69.6/TVOD/88888888/224/3221227011/index.m3u8
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221227029/index.m3u8
深圳卫视,http://222.85.69.6/TVOD/88888888/224/3221227029/index.m3u8
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8
四川卫视,http://222.85.69.6/TVOD/88888888/224/3221227026/index.m3u8
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8
西藏卫视,http://222.85.69.6/PLTV/88888888/224/3221227006/index.m3u8
西藏卫视,http://222.85.69.6/TVOD/88888888/224/3221227006/index.m3u8
新疆卫视,http://222.85.69.6/PLTV/88888888/224/3221227009/index.m3u8
新疆卫视,http://222.85.69.6/TVOD/88888888/224/3221227009/index.m3u8
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8
浙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227008/index.m3u8
浙江卫视,http://222.85.69.6/TVOD/88888888/224/3221227008/index.m3u8

地方,#genre#
北京新闻,http://222.85.69.6/PLTV/88888888/224/3221226997/index.m3u8
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221227023/index.m3u8
东南卫视,http://222.85.69.6/TVOD/88888888/224/3221227023/index.m3u8
河南民生,http://222.85.69.6/PLTV/88888888/224/3221226994/index.m3u8
移动戏曲,http://222.85.69.6/PLTV/88888888/224/3221226990/index.m3u8
山西社会与法治,http://222.85.69.6/PLTV/88888888/224/3221226991/index.m3u8

教育,#genre#
CETV1,http://222.85.69.6/PLTV/88888888/224/3221227034/index.m3u8

其它,#genre#
调解剧场,http://222.85.69.6/PLTV/88888888/224/3221226998/index.m3u8
杭州导视,http://222.85.69.6/PLTV/88888888/224/3221227087/index.m3u8
CCTV4K,http://222.85.69.6/PLTV/88888888/224/3221227244/index.m3u8
河南4K,http://222.85.69.6/PLTV/88888888/224/3221226954/index.m3u8
河南戏曲,http://222.85.69.6/PLTV/88888888/224/3221226996/index.m3u8
吉视乡村,http://222.85.69.6/PLTV/88888888/224/3221226986/index.m3u8
晴彩中原,http://222.85.69.6/PLTV/88888888/224/3221226993/index.m3u8
上海都市,http://222.85.69.6/PLTV/88888888/224/3221226974/index.m3u8
收藏天下,http://222.85.69.6/PLTV/88888888/224/3221226999/index.m3u8
西安移动电视,http://222.85.69.6/PLTV/88888888/224/3221227216/index.m3u8
云南公共,http://222.85.69.6/PLTV/88888888/224/3221226989/index.m3u8
中华功夫,http://222.85.69.6/PLTV/88888888/224/3221227003/index.m3u8
周口公共,http://222.85.69.6/PLTV/88888888/224/3221226972/index.m3u8
周口教育,http://222.85.69.6/PLTV/88888888/224/3221226969/index.m3u8
周口新闻综合,http://222.85.69.6/PLTV/88888888/224/3221226959/index.m3u8
NEWTV超级电视剧,http://222.85.69.6/PLTV/88888888/224/3221226971/index.m3u8
